id_venta,isbn,titulo,autor,categoria,precio_eur,cantidad,edad_cliente,genero_cliente,fecha_venta,formato,canal_venta,tienda,metodo_pago,valoracion_cliente
V000001,978-7-19071-878-8,El poder del ahora,Eckhart Tolle,Autoayuda,11.92,1,50,Masculino,2024-08-24,Tapa dura,Física,Librería Central Madrid,Tarjeta,4
V000002,978-2-63269-597-7,La chica de nieve,Javier Castillo,Thriller,19.84,1,27,No binario,2023-05-09,Bolsillo,Online,Tienda Online,PayPal,5
V000003,978-3-62565-160-2,El día que se perdió la cordura,Javier Castillo,Thriller,18.9,1,29,Femenino,2024-08-02,Bolsillo,Online,Tienda Online,Tarjeta,5
V000004,978-2-26828-775-7,Los cuatro acuerdos,Miguel Ruiz,Autoayuda,12.9,3,58,Masculino,2025-02-19,Kindle,Online,Tienda Online,Tarjeta,
V000005,978-4-97684-597-3,American Gods,Neil Gaiman,Fantasía,15.92,1,60,No binario,2025-03-11,Bolsillo,Física,Librería Gran Vía,Bizum,5
V000006,978-0-13905-195-3,Rebelión en la granja,George Orwell,Ficción,12.5,1,23,Femenino,2025-12-26,Bolsillo,Online,Tienda Online,Efectivo,5
V000007,978-0-62772-845-5,Drácula,Bram Stoker,Terror,11.61,1,36,Prefiere no decir,2024-12-29,Kindle,Online,Tienda Online,Tarjeta,5
V000008,978-4-93748-619-9,Perdida,Gillian Flynn,Thriller,14.85,1,44,Femenino,2024-05-18,Bolsillo,Física,Librería Barcelona Gòtic,Tarjeta,5
V000009,978-9-65461-316-8,"Padre rico, padre pobre",Robert Kiyosaki,Finanzas,18.59,2,20,Femenino,2024-02-29,Kindle,Online,Tienda Online,Efectivo,5
V000010,978-0-40007-169-0,El Principito ilustrado,Antoine de Saint-Exupéry,Infantil,17.49,2,12,Masculino,2024-06-18,Bolsillo,Física,Librería Barcelona Gòtic,PayPal,3
V000011,978-2-26828-775-7,Los cuatro acuerdos,Miguel Ruiz,Autoayuda,11.61,1,36,Masculino,2023-04-12,Kindle,Online,Tienda Online,Tarjeta,4
V000012,978-9-71348-641-4,Veinte poemas de amor,Pablo Neruda,Poesía,8.42,1,48,Femenino,2024-04-07,Kindle,Online,Tienda Online,Transferencia,5
V000013,978-0-87110-667-3,Charlie y la fábrica de chocolate,Roald Dahl,Infantil,9.52,3,6,Prefiere no decir,2023-07-15,Tapa dura,Online,Tienda Online,PayPal,1
V000014,978-2-26828-775-7,Los cuatro acuerdos,Miguel Ruiz,Autoayuda,12.9,2,48,Prefiere no decir,2023-12-20,Kindle,Online,Tienda Online,PayPal,5
V000015,978-3-50857-508-5,Piense y hágase rico,Napoleon Hill,Finanzas,13.9,4,62,Femenino,2025-12-06,Kindle,Online,Tienda Online,Tarjeta,3
V000016,978-8-79514-100-9,La chica en la telaraña,David Lagercrantz,Thriller,14.32,1,43,No binario,2023-02-04,Bolsillo,Física,Librería Sevilla Triana,Bizum,4
V000017,978-1-42591-296-3,Frankenstein,Mary Shelley,Terror,10.12,1,59,Masculino,2024-05-25,Bolsillo,Física,Librería Gran Vía,Bizum,3
V000018,978-6-46434-564-5,En llamas,Suzanne Collins,Fantasía Juvenil,11.92,2,14,Masculino,2023-03-22,Kindle,Online,Tienda Online,Efectivo,4
V000019,978-6-10282-499-4,Patria,Fernando Aramburu,Ficción,19.9,3,24,No binario,2025-10-14,Kindle,Online,Tienda Online,Tarjeta,2
